source	edge_type	target	attrs
CASE_3300-73111-00001-20	HAS_PARTICIPANT	PERSON_3300-73111-00001-20_O	{"role": "offender", "scope": "case"}
CASE_3300-73111-00001-20	HAS_PARTICIPANT	PERSON_3300-73111-00001-20_V	{"role": "victim", "scope": "case"}
PERSON_3300-73111-00001-20_V	SEPARATED_FROM	PERSON_3300-73111-00001-20_O	{"scope": "case", "stage": "prior", "months": "48 (on-off relationship)", "value": "1", "observed": "1"}
PERSON_3300-73111-00001-20_V	HAS_NEW_PARTNER	PERSON_3300-73111-00001-20_O	{"scope": "case", "stage": "prior", "value": "0", "observed": "1"}
PERSON_3300-73111-00001-20_O	CHILD_CUSTODY_DISPUTE	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "observed": "0"}
PERSON_3300-73111-00001-20_O	SHARED_CHILDREN	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "n": "4"}
PERSON_3300-73111-00001-20_O	PRIOR_FAMILY_COURT_INVOLVEMENT	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1"}
CASE_3300-73111-00001-20	HAS_PARTICIPANT	PERSON_3300-73111-00001-20_CHILD_1	{"role": "child", "scope": "case"}
PERSON_3300-73111-00001-20_V	PARENT_OF	PERSON_3300-73111-00001-20_CHILD_1	{"scope": "case"}
PERSON_3300-73111-00001-20_O	PARENT_OF	PERSON_3300-73111-00001-20_CHILD_1	{"scope": "case"}
CASE_3300-73111-00001-20	HAS_PARTICIPANT	PERSON_3300-73111-00001-20_CHILD_2	{"role": "child", "scope": "case"}
PERSON_3300-73111-00001-20_V	PARENT_OF	PERSON_3300-73111-00001-20_CHILD_2	{"scope": "case"}
PERSON_3300-73111-00001-20_O	PARENT_OF	PERSON_3300-73111-00001-20_CHILD_2	{"scope": "case"}
CASE_3300-73111-00001-20	HAS_PARTICIPANT	PERSON_3300-73111-00001-20_CHILD_3	{"role": "child", "scope": "case"}
PERSON_3300-73111-00001-20_V	PARENT_OF	PERSON_3300-73111-00001-20_CHILD_3	{"scope": "case"}
PERSON_3300-73111-00001-20_O	PARENT_OF	PERSON_3300-73111-00001-20_CHILD_3	{"scope": "case"}
CASE_3300-73111-00001-20	HAS_PARTICIPANT	PERSON_3300-73111-00001-20_CHILD_4	{"role": "child", "scope": "case"}
PERSON_3300-73111-00001-20_V	PARENT_OF	PERSON_3300-73111-00001-20_CHILD_4	{"scope": "case"}
PERSON_3300-73111-00001-20_O	PARENT_OF	PERSON_3300-73111-00001-20_CHILD_4	{"scope": "case"}
PERSON_3300-73111-00001-20_O	PRIOR_VIOLENCE	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "prior_violence", "detail": "Threats, physical violence"}
PERSON_3300-73111-00001-20_O	COERCIVE_CONTROL	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "control"}
PERSON_3300-73111-00001-20_O	ATTEMPTED_ISOLATION	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "prior_attempts_isolate_victim"}
PERSON_3300-73111-00001-20_O	PRIOR_STRANGULATION	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "prior_strangulation"}
PERSON_3300-73111-00001-20_O	THREATENED_WITH_WEAPON	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "prior_threats_with_weapon"}
PERSON_3300-73111-00001-20_O	ASSAULTED_WITH_WEAPON	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "prior_assault_with_weapon"}
PERSON_3300-73111-00001-20_O	ESCALATED_VIOLENCE	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "escalation_of_violence"}
PERSON_3300-73111-00001-20_O	STALKED	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "obsessive_behaviour"}
PERSON_3300-73111-00001-20_O	SEXUAL_JEALOUSY	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "sexual_jealousy"}
PERSON_3300-73111-00001-20_O	MISOGYNISTIC_ATTITUDES	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "misogynistic_attitudes"}
PERSON_3300-73111-00001-20_O	CONTROLLED_DAILY_ACTIVITIES	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "controlled_victims_daily_activities"}
PERSON_3300-73111-00001-20_O	THREATENED_SUICIDE	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "threats_of_suicide"}
PERSON_3300-73111-00001-20_O	YOUTH_COUPLE	PERSON_3300-73111-00001-20_V	{"scope": "case", "stage": "prior", "value": "0", "observed": "1", "source_col": "youth_couple"}
PERSON_3300-73111-00001-20_V	YOUTH_COUPLE	PERSON_3300-73111-00001-20_O	{"scope": "case", "stage": "prior", "value": "0", "observed": "1", "source_col": "youth_couple"}
PERSON_3300-73111-00001-20_O	THREATENED_HARMED_CHILD	PERSON_3300-73111-00001-20_CHILD_1	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "offender_threatened_harmed_children"}
PERSON_3300-73111-00001-20_O	THREATENED_HARMED_CHILD	PERSON_3300-73111-00001-20_CHILD_2	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "offender_threatened_harmed_children"}
PERSON_3300-73111-00001-20_O	THREATENED_HARMED_CHILD	PERSON_3300-73111-00001-20_CHILD_3	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "offender_threatened_harmed_children"}
PERSON_3300-73111-00001-20_O	THREATENED_HARMED_CHILD	PERSON_3300-73111-00001-20_CHILD_4	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "offender_threatened_harmed_children"}
