edge_id,source_id,target_id,edge_type,edge_key,role,scope,stage,value,observed,n,source_col,detail
E_172bdfb186573cfb,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,PRIOR_VIOLENCE,PRIOR_VIOLENCE,,case,prior,1,1,,prior_violence,"Physical violence, psycholocial violence"
E_783f54cde090d087,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,COERCIVE_CONTROL,COERCIVE_CONTROL,,case,prior,1,1,,control,
E_7aa3bb312f251e71,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,ATTEMPTED_ISOLATION,ATTEMPTED_ISOLATION,,case,prior,1,1,,prior_attempts_isolate_victim,
E_d5d8c0199bb69fe8,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,PRIOR_STRANGULATION,PRIOR_STRANGULATION,,case,prior,,0,,prior_strangulation,
E_c5c6add230e1db79,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,THREATENED_WITH_WEAPON,THREATENED_WITH_WEAPON,,case,prior,,0,,prior_threats_with_weapon,
E_5c8da528e17683e9,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,ASSAULTED_WITH_WEAPON,ASSAULTED_WITH_WEAPON,,case,prior,,0,,prior_assault_with_weapon,
E_264675cd8a7eb4d3,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,ESCALATED_VIOLENCE,ESCALATED_VIOLENCE,,case,prior,,0,,escalation_of_violence,
E_40f1b5cbd446fcc2,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,STALKED,STALKED,,case,prior,1,1,,obsessive_behaviour,
E_0ff736e9138e26d7,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,SEXUAL_JEALOUSY,SEXUAL_JEALOUSY,,case,prior,,0,,sexual_jealousy,
E_35c3aabad8408de1,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,MISOGYNISTIC_ATTITUDES,MISOGYNISTIC_ATTITUDES,,case,prior,,0,,misogynistic_attitudes,
E_5f68af5638cf79a0,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,CONTROLLED_DAILY_ACTIVITIES,CONTROLLED_DAILY_ACTIVITIES,,case,prior,1,1,,controlled_victims_daily_activities,
E_b065c5a25ac836ff,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,THREATENED_SUICIDE,THREATENED_SUICIDE,,case,prior,1,1,,threats_of_suicide,
E_a9e353472615db91,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,YOUTH_COUPLE,YOUTH_COUPLE,,case,prior,0,1,,youth_couple,
E_f87eced036fc5b58,PERSON_1900-73111-00001-12_V,PERSON_1900-73111-00001-12_O,YOUTH_COUPLE,YOUTH_COUPLE,,case,prior,0,1,,youth_couple,
E_47b1819cc0a712af,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_CHILD_1,THREATENED_HARMED_CHILD,THREATENED_HARMED_CHILD,,case,prior,,0,,offender_threatened_harmed_children,
E_bf0bcd9b0dfd905d,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_CHILD_2,THREATENED_HARMED_CHILD,THREATENED_HARMED_CHILD,,case,prior,,0,,offender_threatened_harmed_children,
E_2312cf689778c875,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_CHILD_3,THREATENED_HARMED_CHILD,THREATENED_HARMED_CHILD,,case,prior,,0,,offender_threatened_harmed_children,
E_4b73012378c4a258,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_CHILD_4,THREATENED_HARMED_CHILD,THREATENED_HARMED_CHILD,,case,prior,,0,,offender_threatened_harmed_children,
E_cf6f011ecaa7312e,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_CHILD_5,THREATENED_HARMED_CHILD,THREATENED_HARMED_CHILD,,case,prior,,0,,offender_threatened_harmed_children,
