edge_id,source_id,target_id,edge_type,edge_key,role,scope,stage,value,observed,n,source_col,detail
E_c0d701cb93131fcb,CASE_1900-73111-00001-12,PERSON_1900-73111-00001-12_O,HAS_PARTICIPANT,HAS_PARTICIPANT,offender,case,,,,,,
E_77b7fc624317c3d3,CASE_1900-73111-00001-12,PERSON_1900-73111-00001-12_V,HAS_PARTICIPANT,HAS_PARTICIPANT,victim,case,,,,,,
E_59e3e01ca15ec019,PERSON_1900-73111-00001-12_V,PERSON_1900-73111-00001-12_O,SEPARATED_FROM,SEPARATED_FROM,,case,prior,0,1,,,
E_22b1dcfc3c3b5dc0,PERSON_1900-73111-00001-12_V,PERSON_1900-73111-00001-12_O,HAS_NEW_PARTNER,HAS_NEW_PARTNER,,case,prior,,0,,,
E_6fd38ca922787aef,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,CHILD_CUSTODY_DISPUTE,CHILD_CUSTODY_DISPUTE,,case,prior,1,1,,,
E_b54592d1a5ae7bc4,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,SHARED_CHILDREN,SHARED_CHILDREN,,case,prior,1,1,1,,
E_073238e0fc756461,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_V,PRIOR_FAMILY_COURT_INVOLVEMENT,PRIOR_FAMILY_COURT_INVOLVEMENT,,case,prior,1,1,,,
E_469dd25bafa3cc05,CASE_1900-73111-00001-12,PERSON_1900-73111-00001-12_CHILD_1,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,
E_83a530f423f6c26a,PERSON_1900-73111-00001-12_V,PERSON_1900-73111-00001-12_CHILD_1,PARENT_OF,PARENT_OF,,case,,,,,,
E_cc30d0fb0bb40a1a,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_CHILD_1,PARENT_OF,PARENT_OF,,case,,,,,,
E_fc894c91f911cdc1,CASE_1900-73111-00001-12,PERSON_1900-73111-00001-12_CHILD_2,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,
E_e50e0025b65c4295,PERSON_1900-73111-00001-12_V,PERSON_1900-73111-00001-12_CHILD_2,PARENT_OF,PARENT_OF,,case,,,,,,
E_6ec71df62a761a19,CASE_1900-73111-00001-12,PERSON_1900-73111-00001-12_CHILD_3,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,
E_998310b20e7a4f73,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_CHILD_3,PARENT_OF,PARENT_OF,,case,,,,,,
E_1ae9bb16b7ecfd7e,CASE_1900-73111-00001-12,PERSON_1900-73111-00001-12_CHILD_4,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,
E_640dc5d06f215aa9,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_CHILD_4,PARENT_OF,PARENT_OF,,case,,,,,,
E_88ae390dc7028f70,CASE_1900-73111-00001-12,PERSON_1900-73111-00001-12_CHILD_5,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,
E_1771ed3da63f3829,PERSON_1900-73111-00001-12_O,PERSON_1900-73111-00001-12_CHILD_5,PARENT_OF,PARENT_OF,,case,,,,,,
