source	edge_type	target	attrs
CASE_0100-73241-00495-20	HAS_PARTICIPANT	PERSON_0100-73241-00495-20_O	{"role": "offender", "scope": "case"}
CASE_0100-73241-00495-20	HAS_PARTICIPANT	PERSON_0100-73241-00495-20_V	{"role": "victim", "scope": "case"}
PERSON_0100-73241-00495-20_V	SEPARATED_FROM	PERSON_0100-73241-00495-20_O	{"scope": "case", "stage": "prior", "value": "0", "observed": "1"}
PERSON_0100-73241-00495-20_V	HAS_NEW_PARTNER	PERSON_0100-73241-00495-20_O	{"scope": "case", "stage": "prior", "value": "0", "observed": "1"}
PERSON_0100-73241-00495-20_O	CHILD_CUSTODY_DISPUTE	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1"}
PERSON_0100-73241-00495-20_O	SHARED_CHILDREN	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "n": "3"}
PERSON_0100-73241-00495-20_O	PRIOR_FAMILY_COURT_INVOLVEMENT	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1"}
CASE_0100-73241-00495-20	HAS_PARTICIPANT	PERSON_0100-73241-00495-20_CHILD_1	{"role": "child", "scope": "case"}
PERSON_0100-73241-00495-20_V	PARENT_OF	PERSON_0100-73241-00495-20_CHILD_1	{"scope": "case"}
PERSON_0100-73241-00495-20_O	PARENT_OF	PERSON_0100-73241-00495-20_CHILD_1	{"scope": "case"}
CASE_0100-73241-00495-20	HAS_PARTICIPANT	PERSON_0100-73241-00495-20_CHILD_2	{"role": "child", "scope": "case"}
PERSON_0100-73241-00495-20_V	PARENT_OF	PERSON_0100-73241-00495-20_CHILD_2	{"scope": "case"}
PERSON_0100-73241-00495-20_O	PARENT_OF	PERSON_0100-73241-00495-20_CHILD_2	{"scope": "case"}
CASE_0100-73241-00495-20	HAS_PARTICIPANT	PERSON_0100-73241-00495-20_CHILD_3	{"role": "child", "scope": "case"}
PERSON_0100-73241-00495-20_V	PARENT_OF	PERSON_0100-73241-00495-20_CHILD_3	{"scope": "case"}
PERSON_0100-73241-00495-20_O	PARENT_OF	PERSON_0100-73241-00495-20_CHILD_3	{"scope": "case"}
PERSON_0100-73241-00495-20_O	PRIOR_VIOLENCE	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "prior_violence", "detail": "Sexual, physical"}
PERSON_0100-73241-00495-20_O	COERCIVE_CONTROL	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "control"}
PERSON_0100-73241-00495-20_O	ATTEMPTED_ISOLATION	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "prior_attempts_isolate_victim"}
PERSON_0100-73241-00495-20_O	PRIOR_STRANGULATION	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "prior_strangulation"}
PERSON_0100-73241-00495-20_O	THREATENED_WITH_WEAPON	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "prior_threats_with_weapon"}
PERSON_0100-73241-00495-20_O	ASSAULTED_WITH_WEAPON	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "prior_assault_with_weapon"}
PERSON_0100-73241-00495-20_O	ESCALATED_VIOLENCE	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "escalation_of_violence"}
PERSON_0100-73241-00495-20_O	STALKED	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "obsessive_behaviour"}
PERSON_0100-73241-00495-20_O	SEXUAL_JEALOUSY	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "sexual_jealousy"}
PERSON_0100-73241-00495-20_O	MISOGYNISTIC_ATTITUDES	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "misogynistic_attitudes"}
PERSON_0100-73241-00495-20_O	CONTROLLED_DAILY_ACTIVITIES	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "controlled_victims_daily_activities"}
PERSON_0100-73241-00495-20_O	THREATENED_SUICIDE	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "threats_of_suicide"}
PERSON_0100-73241-00495-20_O	YOUTH_COUPLE	PERSON_0100-73241-00495-20_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "youth_couple"}
PERSON_0100-73241-00495-20_V	YOUTH_COUPLE	PERSON_0100-73241-00495-20_O	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "youth_couple"}
PERSON_0100-73241-00495-20_O	THREATENED_HARMED_CHILD	PERSON_0100-73241-00495-20_CHILD_1	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "offender_threatened_harmed_children"}
PERSON_0100-73241-00495-20_O	THREATENED_HARMED_CHILD	PERSON_0100-73241-00495-20_CHILD_2	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "offender_threatened_harmed_children"}
PERSON_0100-73241-00495-20_O	THREATENED_HARMED_CHILD	PERSON_0100-73241-00495-20_CHILD_3	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "offender_threatened_harmed_children"}
