source	edge_type	target	attrs
CASE_1900-73111-00001-12	HAS_PARTICIPANT	PERSON_1900-73111-00001-12_O	{"role": "offender", "scope": "case"}
CASE_1900-73111-00001-12	HAS_PARTICIPANT	PERSON_1900-73111-00001-12_V	{"role": "victim", "scope": "case"}
PERSON_1900-73111-00001-12_V	SEPARATED_FROM	PERSON_1900-73111-00001-12_O	{"scope": "case", "stage": "prior", "value": "0", "observed": "1"}
PERSON_1900-73111-00001-12_V	HAS_NEW_PARTNER	PERSON_1900-73111-00001-12_O	{"scope": "case", "stage": "prior", "observed": "0"}
PERSON_1900-73111-00001-12_O	CHILD_CUSTODY_DISPUTE	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1"}
PERSON_1900-73111-00001-12_O	SHARED_CHILDREN	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "n": "1"}
PERSON_1900-73111-00001-12_O	PRIOR_FAMILY_COURT_INVOLVEMENT	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1"}
CASE_1900-73111-00001-12	HAS_PARTICIPANT	PERSON_1900-73111-00001-12_CHILD_1	{"role": "child", "scope": "case"}
PERSON_1900-73111-00001-12_V	PARENT_OF	PERSON_1900-73111-00001-12_CHILD_1	{"scope": "case"}
PERSON_1900-73111-00001-12_O	PARENT_OF	PERSON_1900-73111-00001-12_CHILD_1	{"scope": "case"}
CASE_1900-73111-00001-12	HAS_PARTICIPANT	PERSON_1900-73111-00001-12_CHILD_2	{"role": "child", "scope": "case"}
PERSON_1900-73111-00001-12_V	PARENT_OF	PERSON_1900-73111-00001-12_CHILD_2	{"scope": "case"}
CASE_1900-73111-00001-12	HAS_PARTICIPANT	PERSON_1900-73111-00001-12_CHILD_3	{"role": "child", "scope": "case"}
PERSON_1900-73111-00001-12_O	PARENT_OF	PERSON_1900-73111-00001-12_CHILD_3	{"scope": "case"}
CASE_1900-73111-00001-12	HAS_PARTICIPANT	PERSON_1900-73111-00001-12_CHILD_4	{"role": "child", "scope": "case"}
PERSON_1900-73111-00001-12_O	PARENT_OF	PERSON_1900-73111-00001-12_CHILD_4	{"scope": "case"}
CASE_1900-73111-00001-12	HAS_PARTICIPANT	PERSON_1900-73111-00001-12_CHILD_5	{"role": "child", "scope": "case"}
PERSON_1900-73111-00001-12_O	PARENT_OF	PERSON_1900-73111-00001-12_CHILD_5	{"scope": "case"}
PERSON_1900-73111-00001-12_O	PRIOR_VIOLENCE	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "prior_violence", "detail": "Physical violence, psycholocial violence"}
PERSON_1900-73111-00001-12_O	COERCIVE_CONTROL	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "control"}
PERSON_1900-73111-00001-12_O	ATTEMPTED_ISOLATION	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "prior_attempts_isolate_victim"}
PERSON_1900-73111-00001-12_O	PRIOR_STRANGULATION	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "prior_strangulation"}
PERSON_1900-73111-00001-12_O	THREATENED_WITH_WEAPON	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "prior_threats_with_weapon"}
PERSON_1900-73111-00001-12_O	ASSAULTED_WITH_WEAPON	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "prior_assault_with_weapon"}
PERSON_1900-73111-00001-12_O	ESCALATED_VIOLENCE	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "escalation_of_violence"}
PERSON_1900-73111-00001-12_O	STALKED	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "obsessive_behaviour"}
PERSON_1900-73111-00001-12_O	SEXUAL_JEALOUSY	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "sexual_jealousy"}
PERSON_1900-73111-00001-12_O	MISOGYNISTIC_ATTITUDES	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "misogynistic_attitudes"}
PERSON_1900-73111-00001-12_O	CONTROLLED_DAILY_ACTIVITIES	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "controlled_victims_daily_activities"}
PERSON_1900-73111-00001-12_O	THREATENED_SUICIDE	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "value": "1", "observed": "1", "source_col": "threats_of_suicide"}
PERSON_1900-73111-00001-12_O	YOUTH_COUPLE	PERSON_1900-73111-00001-12_V	{"scope": "case", "stage": "prior", "value": "0", "observed": "1", "source_col": "youth_couple"}
PERSON_1900-73111-00001-12_V	YOUTH_COUPLE	PERSON_1900-73111-00001-12_O	{"scope": "case", "stage": "prior", "value": "0", "observed": "1", "source_col": "youth_couple"}
PERSON_1900-73111-00001-12_O	THREATENED_HARMED_CHILD	PERSON_1900-73111-00001-12_CHILD_1	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "offender_threatened_harmed_children"}
PERSON_1900-73111-00001-12_O	THREATENED_HARMED_CHILD	PERSON_1900-73111-00001-12_CHILD_2	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "offender_threatened_harmed_children"}
PERSON_1900-73111-00001-12_O	THREATENED_HARMED_CHILD	PERSON_1900-73111-00001-12_CHILD_3	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "offender_threatened_harmed_children"}
PERSON_1900-73111-00001-12_O	THREATENED_HARMED_CHILD	PERSON_1900-73111-00001-12_CHILD_4	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "offender_threatened_harmed_children"}
PERSON_1900-73111-00001-12_O	THREATENED_HARMED_CHILD	PERSON_1900-73111-00001-12_CHILD_5	{"scope": "case", "stage": "prior", "observed": "0", "source_col": "offender_threatened_harmed_children"}
